insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (16, 1, '3:00', '13:00', 10, 0.0, 0, 3, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (17, 1, '7:00', '19:00', 12, 0.0, 0, 4, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (18, 1, '2:00', '10:00', 8, 0.0, 0, 3, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (19, 1, '1:00', '7:00', 6, 0.0, 0, 4, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (20, 1, '4:00', '13:00', 9, 0.0, 0, 6, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (21, 1, '17:00', '5:00', 12, 0.0, 0, 6, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (22, 2, '5:00', '13:00', 8, 0.0, 0, 5, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (23, 2, '14:00', '23:00', 9, 0.0, 0, 6, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (24, 2, '1:00', '11:00', 10, 0.0, 0, 1, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (25, 2, '17:00', '2:00', 9, 0.0, 0, 2, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (26, 2, '22:00', '8:00', 10, 0.0, 0, 6, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (27, 2, '20:00', '4:00', 8, 0.0, 0, 5, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (28, 2, '4:00', '11:00', 7, 0.0, 0, 4, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (29, 3, '5:00', '11:00', 6, 0.0, 0, 6, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (30, 3, '20:00', '7:00', 11, 0.0, 0, 2, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (31, 3, '5:00', '15:00', 10, 0.0, 0, 2, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (32, 3, '1:00', '13:00', 12, 0.0, 0, 1, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (33, 3, '15:00', '21:00', 6, 0.0, 0, 4, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (34, 4, '1:00', '7:00', 6, 0.0, 0, 4, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (35, 4, '16:00', '1:00', 9, 0.0, 0, 1, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (36, 4, '10:00', '20:00', 10, 0.0, 0, 1, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (37, 5, '9:00', '20:00', 11, 0.0, 0, 3, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (38, 5, '19:00', '3:00', 8, 0.0, 0, 2, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (39, 5, '7:00', '18:00', 11, 0.0, 0, 6, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (40, 6, '21:00', '7:00', 10, 0.0, 0, 7, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (41, 6, '8:00', '18:00', 10, 0.0, 0, 3, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (42, 6, '12:00', '23:00', 11, 0.0, 0, 7, false);
insert into medical_doctor (personal_info_id, clinic, working_time_from, working_time_to, working_hours, rating, review_count, specialization, archived) values (43, 6, '0:00', '9:00', 9, 0.0, 0, 4, false);
